"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!2-person household","Margin of Error!!Total:!!Family households:!!2-person household","Estimate!!Total:!!Family households:!!3-person household","Margin of Error!!Total:!!Family households:!!3-person household","Estimate!!Total:!!Family households:!!4-person household","Margin of Error!!Total:!!Family households:!!4-person household","Estimate!!Total:!!Family households:!!5-person household","Margin of Error!!Total:!!Family households:!!5-person household","Estimate!!Total:!!Family households:!!6-person household","Margin of Error!!Total:!!Family households:!!6-person household","Estimate!!Total:!!Family households:!!7-or-more person household","Margin of Error!!Total:!!Family households:!!7-or-more person household","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!1-person household","Margin of Error!!Total:!!Nonfamily households:!!1-person household","Estimate!!Total:!!Nonfamily households:!!2-person household","Margin of Error!!Total:!!Nonfamily households:!!2-person household","Estimate!!Total:!!Nonfamily households:!!3-person household","Margin of Error!!Total:!!Nonfamily households:!!3-person household","Estimate!!Total:!!Nonfamily households:!!4-person household","Margin of Error!!Total:!!Nonfamily households:!!4-person household","Estimate!!Total:!!Nonfamily households:!!5-person household","Margin of Error!!Total:!!Nonfamily households:!!5-person household","Estimate!!Total:!!Nonfamily households:!!6-person household","Margin of Error!!Total:!!Nonfamily households:!!6-person household","Estimate!!Total:!!Nonfamily households:!!7-or-more person household","Margin of Error!!Total:!!Nonfamily households:!!7-or-more person household","id","Geographic Area Name"
"973","72","744","91","259","78","260","85","108","45","46","33","30","33","41","28","229","69","190","61","32","32","7","10","0","12","0","12","0","12","0","12","1400000US36047072200","Census Tract 722, Kings County, New York"
"706","49","526","68","170","60","162","70","127","52","38","33","21","22","8","10","180","68","180","68","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047072400","Census Tract 724, Kings County, New York"
"664","56","565","73","158","54","120","52","132","62","92","52","40","26","23","30","99","48","83","41","16","26","0","12","0","12","0","12","0","12","0","12","1400000US36047072600","Census Tract 726, Kings County, New York"
"1557","94","978","146","275","98","317","117","258","118","121","73","0","12","7","27","579","128","528","130","42","37","9","14","0","12","0","12","0","12","0","12","1400000US36047072800","Census Tract 728, Kings County, New York"
"713","56","567","84","188","63","101","46","163","74","64","45","25","26","26","23","146","66","146","66","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047073000","Census Tract 730, Kings County, New York"
"784","62","516","71","200","49","111","44","97","44","38","33","35","27","35","25","268","79","233","74","21","23","0","12","14","22","0","12","0","12","0","12","1400000US36047073200","Census Tract 732, Kings County, New York"
"551","61","438","75","87","50","111","50","141","59","82","38","17","21","0","12","113","41","101","40","6","9","6","9","0","12","0","12","0","12","0","12","1400000US36047073400","Census Tract 734, Kings County, New York"
"1204","96","856","116","326","111","199","74","196","87","86","59","35","33","14","20","348","101","299","90","49","44","0","12","0","12","0","12","0","12","0","12","1400000US36047073600","Census Tract 736, Kings County, New York"
"1167","92","934","124","327","110","169","85","114","82","135","81","83","67","106","81","233","85","221","79","12","18","0","12","0","12","0","12","0","12","0","12","1400000US36047073800","Census Tract 738, Kings County, New York"
"1072","89","890","107","249","116","253","104","134","69","112","81","89","61","53","40","182","95","160","90","22","35","0","12","0","12","0","12","0","12","0","12","1400000US36047074000","Census Tract 740, Kings County, New York"
"926","60","735","67","152","54","237","69","132","51","124","52","42","27","48","32","191","63","168","62","23","29","0","12","0","12","0","12","0","12","0","12","1400000US36047074200","Census Tract 742, Kings County, New York"
"659","60","626","58","139","51","99","43","122","53","63","40","94","37","109","55","33","25","33","25","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047074400","Census Tract 744, Kings County, New York"
"730","34","613","58","199","62","152","63","72","36","55","29","77","43","58","37","117","53","106","53","0","12","4","6","0","12","0","12","0","12","7","12","1400000US36047074600","Census Tract 746, Kings County, New York"
"629","54","445","66","188","61","19","16","68","49","67","35","58","36","45","32","184","49","167","52","17","27","0","12","0","12","0","12","0","12","0","12","1400000US36047074800","Census Tract 748, Kings County, New York"
"847","65","625","73","153","47","167","68","105","55","86","38","40","31","74","42","222","69","179","62","20","25","9","13","14","22","0","12","0","12","0","12","1400000US36047075000","Census Tract 750, Kings County, New York"
"314","22","270","24","139","25","39","18","0","12","23","19","20","17","49","31","44","27","36","24","8","11","0","12","0","12","0","12","0","12","0","12","1400000US36047075200","Census Tract 752, Kings County, New York"
"406","45","368","50","136","38","102","42","72","42","21","18","11","14","26","14","38","22","38","22","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047075400","Census Tract 754, Kings County, New York"
"698","54","479","58","143","49","81","37","116","41","42","32","36","28","61","40","219","58","169","59","50","39","0","12","0","12","0","12","0","12","0","12","1400000US36047075600","Census Tract 756, Kings County, New York"
"594","56","431","44","197","50","69","42","60","42","44","27","27","25","34","36","163","49","147","46","16","13","0","12","0","12","0","12","0","12","0","12","1400000US36047075800","Census Tract 758, Kings County, New York"
"1073","51","692","99","309","74","91","57","147","64","33","43","30","30","82","54","381","85","318","88","55","39","8","14","0","12","0","12","0","12","0","12","1400000US36047076000","Census Tract 760, Kings County, New York"
"1528","92","1018","138","423","116","219","92","135","68","121","65","38","30","82","46","510","131","419","101","79","79","12","20","0","12","0","12","0","12","0","12","1400000US36047076200","Census Tract 762, Kings County, New York"
"1438","109","842","147","303","114","140","73","251","101","122","62","12","20","14","24","596","137","468","115","96","83","32","31","0","12","0","12","0","12","0","12","1400000US36047076400","Census Tract 764, Kings County, New York"
"699","60","530","72","145","55","184","64","98","47","63","33","18","25","22","28","169","55","104","46","65","39","0","12","0","12","0","12","0","12","0","12","1400000US36047076600","Census Tract 766, Kings County, New York"
"1139","81","692","117","255","101","122","78","150","75","54","46","30","25","81","49","447","90","376","97","52","38","19","28","0","12","0","12","0","12","0","12","1400000US36047076800","Census Tract 768, Kings County, New York"
"1036","92","567","130","134","80","130","83","183","84","88","66","32","39","0","12","469","120","426","111","43","44","0","12","0","12","0","12","0","12","0","12","1400000US36047077000","Census Tract 770, Kings County, New York"
"1215","67","772","104","301","107","176","86","159","70","75","56","61","69","0","12","443","113","379","109","64","61","0","12","0","12","0","12","0","12","0","12","1400000US36047077200","Census Tract 772, Kings County, New York"
"1245","61","792","119","267","85","202","97","207","87","40","40","57","40","19","29","453","112","392","104","61","52","0","12","0","12","0","12","0","12","0","12","1400000US36047077400","Census Tract 774, Kings County, New York"
"1713","97","923","133","438","125","247","84","131","58","67","57","25","34","15","24","790","155","669","141","106","59","15","24","0","12","0","12","0","12","0","12","1400000US36047077600","Census Tract 776, Kings County, New York"
"692","63","551","78","145","56","192","61","102","66","61","45","20","17","31","28","141","60","119","56","22","26","0","12","0","12","0","12","0","12","0","12","1400000US36047078000","Census Tract 780, Kings County, New York"
"1688","83","1320","136","443","109","481","132","205","92","100","70","27","32","64","56","368","114","303","112","65","52","0","12","0","12","0","12","0","12","0","12","1400000US36047078200","Census Tract 782, Kings County, New York"
"777","53","650","75","238","63","240","64","58","37","79","42","7","12","28","17","127","50","108","46","19","24","0","12","0","12","0","12","0","12","0","12","1400000US36047078400","Census Tract 784, Kings County, New York"
"1899","97","1217","153","407","112","430","129","251","89","88","59","23","37","18","27","682","132","582","131","86","58","14","22","0","12","0","12","0","12","0","12","1400000US36047078600","Census Tract 786, Kings County, New York"
"1220","75","846","116","246","105","303","100","124","76","73","58","57","52","43","37","374","108","251","100","104","81","10","15","9","13","0","12","0","12","0","12","1400000US36047078800","Census Tract 788, Kings County, New York"
"1805","136","1220","167","279","105","389","131","363","149","98","77","57","54","34","43","585","156","518","141","25","31","30","47","12","19","0","17","0","17","0","17","1400000US36047079000","Census Tract 790, Kings County, New York"
"1223","114","810","120","350","101","131","56","113","62","116","63","58","51","42","38","413","126","344","118","27","31","23","25","19","28","0","12","0","12","0","12","1400000US36047079200","Census Tract 792, Kings County, New York"
"547","64","344","67","98","56","60","33","53","27","110","52","17","20","6","10","203","70","152","63","19","25","11","10","21","28","0","12","0","12","0","12","1400000US36047079400","Census Tract 794, Kings County, New York"
"1859","127","878","139","240","90","296","118","109","78","189","99","2","11","42","63","981","153","666","159","259","125","56","38","0","12","0","12","0","12","0","12","1400000US36047079601","Census Tract 796.01, Kings County, New York"
"1912","92","1045","156","453","120","241","89","133","77","57","51","95","65","66","58","867","144","637","133","177","81","53","41","0","12","0","12","0","12","0","12","1400000US36047079602","Census Tract 796.02, Kings County, New York"
"1336","87","703","127","313","98","179","85","204","91","7","12","0","12","0","12","633","124","457","119","143","66","33","34","0","12","0","12","0","12","0","12","1400000US36047079801","Census Tract 798.01, Kings County, New York"
"2500","149","1121","230","502","179","291","142","233","139","14","32","81","66","0","17","1379","209","882","188","451","133","12","19","34","62","0","17","0","17","0","17","1400000US36047079802","Census Tract 798.02, Kings County, New York"
"1399","120","947","132","340","112","267","125","192","92","141","84","0","12","7","13","452","112","329","97","89","54","11","20","23","27","0","12","0","12","0","12","1400000US36047080000","Census Tract 800, Kings County, New York"
"1900","104","1014","143","442","115","279","105","152","98","108","78","22","24","11","17","886","152","656","125","112","74","59","74","20","23","39","50","0","12","0","12","1400000US36047080200","Census Tract 802, Kings County, New York"
"1306","98","747","139","283","99","163","86","150","80","140","54","0","12","11","17","559","130","426","126","131","56","2","7","0","12","0","12","0","12","0","12","1400000US36047080400","Census Tract 804, Kings County, New York"
"1226","97","711","137","237","107","213","125","136","80","61","43","40","36","24","17","515","125","341","108","91","50","45","36","22","27","16","25","0","12","0","12","1400000US36047080600","Census Tract 806, Kings County, New York"
"498","37","140","39","86","41","30","22","16","17","8","9","0","12","0","12","358","48","352","49","6","8","0","12","0","12","0","12","0","12","0","12","1400000US36047080800","Census Tract 808, Kings County, New York"
"884","86","515","81","222","87","134","51","111","53","24","35","0","12","24","23","369","89","276","76","54","43","17","19","15","19","0","12","0","12","7","12","1400000US36047081000","Census Tract 810, Kings County, New York"
"1032","72","636","87","236","74","151","69","59","45","108","58","53","43","29","20","396","77","378","74","18","28","0","12","0","12","0","12","0","12","0","12","1400000US36047081400","Census Tract 814, Kings County, New York"
"967","66","654","88","212","66","176","62","112","50","129","67","25","27","0","12","313","77","266","76","35","25","4","6","5","8","3","5","0","12","0","12","1400000US36047081600","Census Tract 816, Kings County, New York"
"1684","119","813","143","299","99","200","141","178","98","72","60","24","26","40","32","871","158","668","150","113","76","8","13","82","112","0","12","0","12","0","12","1400000US36047081800","Census Tract 818, Kings County, New York"
"1968","131","1142","165","450","123","108","63","292","126","208","79","84","82","0","17","826","156","635","144","150","73","24","37","17","20","0","17","0","17","0","17","1400000US36047082000","Census Tract 820, Kings County, New York"
"2774","185","1408","224","603","168","271","132","200","105","182","114","78","91","74","67","1366","249","1103","246","112","93","43","67","108","86","0","17","0","17","0","17","1400000US36047082200","Census Tract 822, Kings County, New York"
"1640","119","1115","127","271","104","301","105","294","98","148","78","52","40","49","35","525","127","449","129","51","44","17","20","0","12","8","12","0","12","0","12","1400000US36047082400","Census Tract 824, Kings County, New York"
"1854","133","1307","156","571","145","332","119","298","128","58","52","0","12","48","44","547","139","511","133","36","40","0","12","0","12","0","12","0","12","0","12","1400000US36047082600","Census Tract 826, Kings County, New York"
"1281","118","835","128","251","91","270","90","105","70","105","65","34","48","70","55","446","91","367","91","34","22","45","40","0","12","0","12","0","12","0","12","1400000US36047082800","Census Tract 828, Kings County, New York"
"2301","165","1552","209","479","185","451","157","330","163","101","83","122","101","69","72","749","196","673","184","76","70","0","17","0","17","0","17","0","17","0","17","1400000US36047083000","Census Tract 830, Kings County, New York"
"707","54","518","76","90","42","199","62","146","61","70","38","0","12","13","14","189","64","153","57","36","32","0","12","0","12","0","12","0","12","0","12","1400000US36047083200","Census Tract 832, Kings County, New York"
"583","46","459","59","205","66","65","43","85","47","53","31","41","34","10","15","124","48","119","51","5","10","0","12","0","12","0","12","0","12","0","12","1400000US36047083400","Census Tract 834, Kings County, New York"
"727","51","516","69","231","75","119","51","87","46","23","23","34","29","22","18","211","61","169","58","31","29","4","7","7","9","0","12","0","12","0","12","1400000US36047083600","Census Tract 836, Kings County, New York"
"782","46","563","67","213","70","205","67","94","44","9","15","26","19","16","19","219","67","207","66","4","6","8","13","0","12","0","12","0","12","0","12","1400000US36047083800","Census Tract 838, Kings County, New York"
"823","47","621","76","206","73","137","57","139","61","71","30","50","34","18","21","202","65","190","65","6","8","0","12","0","12","6","10","0","12","0","12","1400000US36047084000","Census Tract 840, Kings County, New York"
"731","59","552","77","238","71","149","57","69","41","47","28","32","26","17","20","179","72","161","72","13","14","0","12","0","12","5","8","0","12","0","12","1400000US36047084600","Census Tract 846, Kings County, New York"
"550","48","433","72","110","42","174","53","86","45","22","22","16","16","25","21","117","54","102","52","15","19","0","12","0","12","0","12","0","12","0","12","1400000US36047084800","Census Tract 848, Kings County, New York"
"478","42","346","55","78","40","104","44","74","42","44","28","41","36","5","8","132","49","121","51","5","9","6","9","0","12","0","12","0","12","0","12","1400000US36047085000","Census Tract 850, Kings County, New York"
"5","7","5","7","0","12","0","12","0","12","5","7","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047085200","Census Tract 852, Kings County, New York"
"728","45","478","74","156","57","148","51","96","43","25","21","38","32","15","17","250","68","232","66","6","10","12","13","0","12","0","12","0","12","0","12","1400000US36047085400","Census Tract 854, Kings County, New York"
"1410","104","923","133","394","114","281","116","178","88","51","53","0","12","19","25","487","121","376","102","80","62","24","37","7","12","0","12","0","12","0","12","1400000US36047085600","Census Tract 856, Kings County, New York"
"813","66","602","72","240","67","192","78","116","49","28","24","2","11","24","23","211","72","211","72","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047085800","Census Tract 858, Kings County, New York"
"1318","76","979","123","426","130","249","103","166","96","86","65","33","30","19","30","339","112","279","107","46","53","0","12","0","12","14","23","0","12","0","12","1400000US36047086000","Census Tract 860, Kings County, New York"
"1124","110","788","139","349","137","195","99","199","101","7","12","25","36","13","22","336","110","286","106","43","49","7","11","0","12","0","12","0","12","0","12","1400000US36047086200","Census Tract 862, Kings County, New York"
"802","67","583","90","176","68","143","76","112","54","121","65","11","14","20","23","219","67","193","66","26","31","0","12","0","12","0","12","0","12","0","12","1400000US36047086400","Census Tract 864, Kings County, New York"
"1184","109","714","140","210","85","200","88","181","81","26","39","48","54","49","47","470","133","437","131","10","16","0","12","12","19","0","12","11","18","0","12","1400000US36047086600","Census Tract 866, Kings County, New York"
"1271","85","826","139","294","101","201","93","211","86","50","44","58","55","12","21","445","127","391","118","41","38","13","19","0","12","0","12","0","12","0","12","1400000US36047086800","Census Tract 868, Kings County, New York"
"1164","101","743","136","224","87","251","105","117","78","76","54","49","42","26","25","421","133","384","117","37","42","0","12","0","12","0","12","0","12","0","12","1400000US36047087000","Census Tract 870, Kings County, New York"
"1124","88","654","105","185","73","162","67","245","92","51","37","11","17","0","12","470","106","351","91","75","61","44","47","0","12","0","12","0","12","0","12","1400000US36047087200","Census Tract 872, Kings County, New York"
"1456","106","907","151","393","113","209","121","121","82","99","70","26","36","59","48","549","143","492","131","57","56","0","12","0","12","0","12","0","12","0","12","1400000US36047087401","Census Tract 874.01, Kings County, New York"
"717","47","374","66","159","60","99","50","32","25","34","28","39","35","11","15","343","71","299","65","15","20","23","24","6","9","0","12","0","12","0","12","1400000US36047087600","Census Tract 876, Kings County, New York"
"994","72","633","82","370","97","109","51","110","49","44","34","0","12","0","12","361","87","361","87","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047087800","Census Tract 878, Kings County, New York"
"1138","113","702","145","301","113","211","109","64","56","78","48","33","43","15","18","436","136","433","134","3","7","0","12","0","12","0","12","0","12","0","12","1400000US36047088000","Census Tract 880, Kings County, New York"
"2446","215","1364","239","467","186","269","163","266","140","236","126","68","57","58","72","1082","237","992","226","25","44","42","70","0","17","23","38","0","17","0","17","1400000US36047088200","Census Tract 882, Kings County, New York"
"1822","160","1162","188","535","154","306","116","168","82","110","66","32","40","11","17","660","154","612","155","48","38","0","12","0","12","0","12","0","12","0","12","1400000US36047088400","Census Tract 884, Kings County, New York"
"1919","104","963","171","420","126","282","109","126","72","88","51","26","42","21","26","956","185","907","184","49","49","0","12","0","12","0","12","0","12","0","12","1400000US36047088600","Census Tract 886, Kings County, New York"
"1478","98","1095","144","436","115","341","128","201","82","35","35","10","17","72","43","383","121","345","118","30","39","8","16","0","12","0","12","0","12","0","12","1400000US36047088800","Census Tract 888, Kings County, New York"
"2262","187","1125","254","405","181","251","119","256","158","144","126","54","56","15","23","1137","255","1037","248","58","73","0","17","42","68","0","17","0","17","0","17","1400000US36047089000","Census Tract 890, Kings County, New York"
"1654","107","759","179","374","130","247","135","115","74","23","25","0","12","0","12","895","145","704","118","174","99","17","21","0","12","0","12","0","12","0","12","1400000US36047089200","Census Tract 892, Kings County, New York"
"1074","124","653","140","155","78","127","69","154","84","128","88","57","47","32","33","421","131","381","129","24","38","16","13","0","12","0","12","0","12","0","12","1400000US36047089400","Census Tract 894, Kings County, New York"
"1558","98","641","126","225","93","185","80","164","73","40","39","11","20","16","19","917","145","887","145","30","37","0","12","0","12","0","12","0","12","0","12","1400000US36047089600","Census Tract 896, Kings County, New York"
"698","58","459","76","187","56","112","53","76","45","69","44","0","12","15","15","239","78","208","77","24","26","7","10","0","12","0","12","0","12","0","12","1400000US36047089800","Census Tract 898, Kings County, New York"
"1829","138","869","179","267","130","396","137","151","82","5","10","37","36","13","20","960","198","877","195","42","62","41","61","0","12","0","12","0","12","0","12","1400000US36047090000","Census Tract 900, Kings County, New York"
"921","80","547","85","266","69","133","59","75","46","27","27","21","18","25","27","374","104","333","97","41","40","0","12","0","12","0","12","0","12","0","12","1400000US36047090200","Census Tract 902, Kings County, New York"
"1616","114","706","173","213","63","250","122","164","95","79","60","0","12","0","12","910","172","893","172","17","23","0","12","0","12","0","12","0","12","0","12","1400000US36047090600","Census Tract 906, Kings County, New York"
"1247","120","427","121","249","102","79","65","42","30","57","38","0","17","0","17","820","145","808","148","12","19","0","17","0","17","0","17","0","17","0","17","1400000US36047090800","Census Tract 908, Kings County, New York"
"2528","163","918","236","549","212","158","96","132","83","79","77","0","12","0","12","1610","275","1610","275","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047091000","Census Tract 910, Kings County, New York"
"2496","123","1265","244","632","196","269","157","88","61","102","92","101","86","73","63","1231","243","1194","238","37","58","0","17","0","17","0","17","0","17","0","17","1400000US36047091200","Census Tract 912, Kings County, New York"
"1614","119","719","130","279","100","93","60","219","102","72","59","48","47","8","13","895","154","867","152","12","20","16","25","0","12","0","12","0","12","0","12","1400000US36047091600","Census Tract 916, Kings County, New York"
"1032","52","483","69","139","58","125","46","188","67","31","32","0","12","0","12","549","81","521","82","5","8","23","37","0","12","0","12","0","12","0","12","1400000US36047091800","Census Tract 918, Kings County, New York"
"1171","108","608","145","210","94","255","96","74","72","15","22","54","71","0","12","563","144","498","132","65","78","0","12","0","12","0","12","0","12","0","12","1400000US36047092000","Census Tract 920, Kings County, New York"
"1343","83","627","161","391","154","56","35","125","88","10","15","45","63","0","12","716","151","706","149","10","16","0","12","0","12","0","12","0","12","0","12","1400000US36047092200","Census Tract 922, Kings County, New York"
"990","117","619","129","257","101","156","70","108","80","21","29","50","47","27","31","371","131","331","127","40","56","0","12","0","12","0","12","0","12","0","12","1400000US36047092400","Census Tract 924, Kings County, New York"
"1172","69","715","114","240","93","222","92","134","78","65","64","9","15","45","42","457","121","406","113","51","46","0","12","0","12","0","12","0","12","0","12","1400000US36047092800","Census Tract 928, Kings County, New York"
"1031","66","787","94","214","70","276","81","175","71","61","44","43","31","18","17","244","74","213","71","25","28","0","12","0","12","6","9","0","12","0","12","1400000US36047093000","Census Tract 930, Kings County, New York"
"453","33","306","66","147","61","84","36","18","19","50","49","7","10","0","12","147","64","121","61","18","28","8","12","0","12","0","12","0","12","0","12","1400000US36047093200","Census Tract 932, Kings County, New York"
"1028","52","653","93","305","77","158","58","100","56","75","36","8","11","7","10","375","83","296","74","62","40","17","19","0","12","0","12","0","12","0","12","1400000US36047093400","Census Tract 934, Kings County, New York"
"670","43","442","65","150","57","178","57","55","41","40","23","19","19","0","12","228","63","181","58","47","44","0","12","0","12","0","12","0","12","0","12","1400000US36047093600","Census Tract 936, Kings County, New York"
"962","69","723","96","316","91","231","84","107","61","34","27","6","8","29","33","239","82","226","83","8","9","0","12","5","8","0","12","0","12","0","12","1400000US36047093800","Census Tract 938, Kings County, New York"
"1169","79","876","107","298","83","247","83","142","71","77","57","71","53","41","35","293","105","257","97","22","27","0","12","0","12","14","23","0","12","0","12","1400000US36047094401","Census Tract 944.01, Kings County, New York"
"1342","25","914","123","501","126","141","90","159","81","47","60","66","55","0","12","428","117","407","119","21","34","0","12","0","12","0","12","0","12","0","12","1400000US36047094402","Census Tract 944.02, Kings County, New York"
"751","58","508","91","205","78","121","52","132","57","41","26","5","7","4","8","243","85","194","73","41","41","0","12","8","12","0","12","0","12","0","12","1400000US36047094600","Census Tract 946, Kings County, New York"
"973","62","745","82","306","77","201","75","93","42","81","48","31","27","33","27","228","68","211","69","17","20","0","12","0","12","0","12","0","12","0","12","1400000US36047095000","Census Tract 950, Kings County, New York"
"1483","107","1144","152","441","129","218","90","254","107","193","89","18","22","20","25","339","123","321","119","10","15","0","12","0","12","8","13","0","12","0","12","1400000US36047095400","Census Tract 954, Kings County, New York"
"1400","71","1071","133","203","76","285","112","391","126","123","78","9","14","60","50","329","132","307","127","22","33","0","12","0","12","0","12","0","12","0","12","1400000US36047095600","Census Tract 956, Kings County, New York"
"1161","103","869","128","258","119","262","92","195","85","115","71","18","20","21","34","292","106","275","109","9","14","8","12","0","12","0","12","0","12","0","12","1400000US36047095800","Census Tract 958, Kings County, New York"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047096000","Census Tract 960, Kings County, New York"
"502","53","410","55","137","44","85","40","15","18","106","48","34","28","33","26","92","40","74","35","18","20","0","12","0","12","0","12","0","12","0","12","1400000US36047096200","Census Tract 962, Kings County, New York"
"702","60","475","77","179","80","139","60","51","34","45","38","7","11","54","35","227","69","219","68","0","12","0","12","0","12","8","12","0","12","0","12","1400000US36047096400","Census Tract 964, Kings County, New York"
"806","61","640","74","142","69","228","70","120","56","64","49","33","32","53","33","166","59","147","51","19","29","0","12","0","12","0","12","0","12","0","12","1400000US36047096600","Census Tract 966, Kings County, New York"
"427","51","377","50","74","36","103","52","90","52","51","46","19","17","40","34","50","29","35","24","0","12","4","6","11","17","0","12","0","12","0","12","1400000US36047096800","Census Tract 968, Kings County, New York"
"823","53","599","78","167","66","145","73","104","58","79","52","55","35","49","40","224","69","153","59","62","51","9","13","0","12","0","12","0","12","0","12","1400000US36047097000","Census Tract 970, Kings County, New York"
"699","62","497","69","150","60","167","56","65","39","64","33","21","17","30","18","202","69","175","64","27","28","0","12","0","12","0","12","0","12","0","12","1400000US36047097400","Census Tract 974, Kings County, New York"
"1735","68","1243","129","515","130","367","118","209","93","117","72","0","12","35","39","492","117","476","116","16","26","0","12","0","12","0","12","0","12","0","12","1400000US36047098200","Census Tract 982, Kings County, New York"
"660","63","490","83","112","56","126","53","160","54","51","40","29","23","12","13","170","67","170","67","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047098400","Census Tract 984, Kings County, New York"
"968","72","786","89","337","85","141","53","211","74","75","46","6","9","16","25","182","65","131","51","51","37","0","12","0","12","0","12","0","12","0","12","1400000US36047098600","Census Tract 986, Kings County, New York"
"1130","72","861","106","329","101","249","121","143","86","92","62","48","47","0","12","269","83","250","77","19","33","0","12","0","12","0","12","0","12","0","12","1400000US36047098800","Census Tract 988, Kings County, New York"
"500","57","375","67","57","36","99","51","53","33","91","51","54","32","21","20","125","54","95","50","25","27","5","8","0","12","0","12","0","12","0","12","1400000US36047099000","Census Tract 990, Kings County, New York"
"674","61","531","83","88","43","107","48","136","59","128","52","33","31","39","26","143","58","143","58","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047099200","Census Tract 992, Kings County, New York"
"684","49","563","57","185","73","150","53","116","53","47","40","41","31","24","20","121","57","112","56","9","14","0","12","0","12","0","12","0","12","0","12","1400000US36047099400","Census Tract 994, Kings County, New York"
"1134","105","870","119","186","82","269","108","161","69","129","83","81","59","44","39","264","96","237","95","27","31","0","12","0","12","0","12","0","12","0","12","1400000US36047099600","Census Tract 996, Kings County, New York"
"1245","101","870","150","246","97","276","109","180","100","88","69","38","38","42","43","375","124","305","117","70","59","0","12","0","12","0","12","0","12","0","12","1400000US36047099800","Census Tract 998, Kings County, New York"
"989","74","692","101","237","75","211","72","118","60","88","36","21","22","17","20","297","75","290","75","7","11","0","12","0","12","0","12","0","12","0","12","1400000US36047100400","Census Tract 1004, Kings County, New York"
"920","50","654","76","221","57","151","62","194","76","46","48","0","12","42","34","266","66","243","64","12","19","6","9","0","12","5","9","0","12","0","12","1400000US36047100600","Census Tract 1006, Kings County, New York"
"690","56","512","76","141","60","125","51","136","55","75","45","15","19","20","15","178","59","127","50","25","28","0","12","26","28","0","12","0","12","0","12","1400000US36047100800","Census Tract 1008, Kings County, New York"
"775","61","523","81","132","64","158","83","114","45","69","50","11","16","39","40","252","72","207","63","16","16","18","28","11","13","0","12","0","12","0","12","1400000US36047101000","Census Tract 1010, Kings County, New York"
"854","35","651","71","264","80","188","65","120","61","65","35","0","12","14","16","203","68","188","67","15","17","0","12","0","12","0","12","0","12","0","12","1400000US36047101200","Census Tract 1012, Kings County, New York"
"802","50","605","55","217","62","226","71","97","41","28","21","24","20","13","17","197","59","148","55","49","34","0","12","0","12","0","12","0","12","0","12","1400000US36047101400","Census Tract 1014, Kings County, New York"
"529","39","429","56","124","47","126","49","99","56","28","27","36","27","16","21","100","60","93","58","7","10","0","12","0","12","0","12","0","12","0","12","1400000US36047101600","Census Tract 1016, Kings County, New York"
"819","65","536","78","189","73","81","43","111","57","108","54","19","22","28","32","283","83","273","81","5","9","5","9","0","12","0","12","0","12","0","12","1400000US36047101800","Census Tract 1018, Kings County, New York"
"725","33","576","86","184","73","115","60","144","57","72","50","55","52","6","9","149","79","142","79","7","10","0","12","0","12","0","12","0","12","0","12","1400000US36047102000","Census Tract 1020, Kings County, New York"
"782","47","580","67","221","64","136","54","117","47","78","45","28","21","0","12","202","60","170","54","27","24","0","12","0","12","5","7","0","12","0","12","1400000US36047102200","Census Tract 1022, Kings County, New York"
"726","39","559","72","129","63","200","67","112","50","64","49","15","23","39","28","167","65","152","59","15","23","0","12","0","12","0","12","0","12","0","12","1400000US36047102400","Census Tract 1024, Kings County, New York"
"949","52","804","82","243","75","217","67","230","80","64","41","22","24","28","18","145","61","118","55","20","25","0","12","7","10","0","12","0","12","0","12","1400000US36047102600","Census Tract 1026, Kings County, New York"
"527","47","470","62","143","50","191","56","77","44","27","23","5","8","27","23","57","33","57","33","0","12","0","12","0","12","0","12","0","12","0","12","1400000US36047102800","Census Tract 1028, Kings County, New York"
"1748","71","986","151","349","129","347","124","150","96","46","47","20","32","74","74","762","158","728","149","34","56","0","12","0","12","0","12","0","12","0","12","1400000US36047103400","Census Tract 1034, Kings County, New York"
