"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!2-person household","Margin of Error!!Total:!!Family households:!!2-person household","Estimate!!Total:!!Family households:!!3-person household","Margin of Error!!Total:!!Family households:!!3-person household","Estimate!!Total:!!Family households:!!4-person household","Margin of Error!!Total:!!Family households:!!4-person household","Estimate!!Total:!!Family households:!!5-person household","Margin of Error!!Total:!!Family households:!!5-person household","Estimate!!Total:!!Family households:!!6-person household","Margin of Error!!Total:!!Family households:!!6-person household","Estimate!!Total:!!Family households:!!7-or-more person household","Margin of Error!!Total:!!Family households:!!7-or-more person household","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!1-person household","Margin of Error!!Total:!!Nonfamily households:!!1-person household","Estimate!!Total:!!Nonfamily households:!!2-person household","Margin of Error!!Total:!!Nonfamily households:!!2-person household","Estimate!!Total:!!Nonfamily households:!!3-person household","Margin of Error!!Total:!!Nonfamily households:!!3-person household","Estimate!!Total:!!Nonfamily households:!!4-person household","Margin of Error!!Total:!!Nonfamily households:!!4-person household","Estimate!!Total:!!Nonfamily households:!!5-person household","Margin of Error!!Total:!!Nonfamily households:!!5-person household","Estimate!!Total:!!Nonfamily households:!!6-person household","Margin of Error!!Total:!!Nonfamily households:!!6-person household","Estimate!!Total:!!Nonfamily households:!!7-or-more person household","Margin of Error!!Total:!!Nonfamily households:!!7-or-more person household","id","Geographic Area Name"
"1448","80","1175","89","316","93","315","95","303","87","148","68","37","36","56","33","273","74","227","70","32","40","5","8","0","12","9","14","0","12","0","12","1400000US36047030200","Census Tract 302, Kings County, New York"
"1932","91","1170","168","499","159","328","119","167","80","130","75","46","48","0","12","762","143","604","139","107","81","21","34","30","36","0","12","0","12","0","12","1400000US36047030300","Census Tract 303, Kings County, New York"
"1676","100","1071","125","320","94","342","109","251","91","119","52","23","35","16","17","605","99","532","100","65","44","8","12","0","12","0","12","0","12","0","12","1400000US36047030400","Census Tract 304, Kings County, New York"
"2922","153","1191","224","754","205","229","115","106","58","92","56","0","17","10","16","1731","218","875","184","580","151","205","111","57","44","14","21","0","17","0","17","1400000US36047030500","Census Tract 305, Kings County, New York"
"644","61","453","70","156","52","130","44","118","48","23","16","6","9","20","19","191","59","153","54","38","32","0","12","0","12","0","12","0","12","0","12","1400000US36047030600","Census Tract 306, Kings County, New York"
"2480","90","1393","212","808","249","205","139","163","126","86","74","0","17","131","90","1087","221","918","202","137","106","32","52","0","17","0","17","0","17","0","17","1400000US36047030700","Census Tract 307, Kings County, New York"
"762","72","573","75","271","68","113","60","125","46","35","31","29","33","0","12","189","63","136","49","28","25","25","37","0","12","0","12","0","12","0","12","1400000US36047030800","Census Tract 308, Kings County, New York"
"781","57","520","92","127","57","135","66","113","55","62","70","55","51","28","37","261","82","223","79","17","17","21","27","0","12","0","12","0","12","0","12","1400000US36047030900","Census Tract 309, Kings County, New York"
"1245","109","598","136","224","115","224","91","112","85","19","29","19","31","0","12","647","127","408","124","118","78","82","58","39","57","0","12","0","12","0","12","1400000US36047031100","Census Tract 311, Kings County, New York"
"2258","168","1237","207","633","177","366","171","107","102","131","123","0","17","0","17","1021","215","765","218","222","91","16","29","0","17","18","27","0","17","0","17","1400000US36047031300","Census Tract 313, Kings County, New York"
"1893","149","1300","183","432","191","371","113","354","169","94","70","0","12","49","34","593","166","510","159","27","28","56","84","0","12","0","12","0","12","0","12","1400000US36047031400","Census Tract 314, Kings County, New York"
"2481","181","885","260","571","215","124","90","136","91","54","60","0","12","0","12","1596","227","943","194","553","160","36","38","14","24","50","57","0","12","0","12","1400000US36047031500","Census Tract 315, Kings County, New York"
"1471","132","740","161","235","100","243","104","166","83","65","59","17","22","14","23","731","169","459","146","99","72","138","59","17","14","18","19","0","12","0","12","1400000US36047031701","Census Tract 317.01, Kings County, New York"
"1477","103","622","114","292","85","121","61","147","57","62","50","0","12","0","12","855","116","485","113","269","85","60","41","16","27","25","27","0","12","0","12","1400000US36047031702","Census Tract 317.02, Kings County, New York"
"1322","114","661","132","218","87","258","140","56","59","73","54","21","25","35","44","661","126","529","132","81","57","51","52","0","12","0","12","0","12","0","12","1400000US36047031900","Census Tract 319, Kings County, New York"
"2179","148","1125","216","374","163","318","141","336","144","91","79","6","22","0","17","1054","192","617","162","146","91","225","126","66","92","0","17","0","17","0","17","1400000US36047032100","Census Tract 321, Kings County, New York"
